Date,HDFCBANK,ICICIBANK,SBIN,LICI,BAJFINANCE,KOTAKBANK,AXISBANK,SBILIFE,HDFCLIFE,ICICIPRULI,TCS,INFY,HCLTECH,WIPRO,TECHM,LTIM,PERSISTENT,MPHASIS,COFORGE,OFSS,SUNPHARMA,DIVISLAB,DRREDDY,CIPLA,LUPIN,AUROPHARMA,ZYDUSLIFE,TORNTPHARM,ALKEM,BIOCON
2019-10-16,578.298095703125,421.0167541503906,236.2615814208984,,392.5296020507812,319.7740478515625,690.516845703125,867.9826049804688,601.3952026367188,461.49853515625,1723.030395507812,654.6414794921875,441.2854919433594,114.2600631713867,575.416259765625,1411.287719726562,282.0187683105469,792.6362915039062,259.5322265625,2279.924072265625,376.1503601074219,1656.299926757812,520.2203979492188,425.8978881835938,708.95947265625,445.3279113769531,223.5919189453125,757.7047729492188,1801.312622070312,257.3296813964844
2019-10-17,577.7771606445312,426.1428833007812,244.9351196289062,,401.3645629882812,319.5749206542969,707.3464965820312,893.2599487304688,605.876708984375,468.1854553222656,1748.47021484375,652.9866333007812,438.138916015625,113.7780380249023,572.767333984375,1384.460083007812,285.0964660644531,794.2702026367188,259.0167236328125,2234.548583984375,377.8442687988281,1658.947875976562,525.217529296875,425.4212036132812,702.81640625,447.9689636230469,226.5452270507812,781.9071655273438,1805.49951171875,255.4487915039062
2019-10-18,582.0394287109375,423.4347229003906,248.810546875,,404.3796081542969,321.7059936523438,706.5996704101562,916.0638427734375,599.2777099609375,472.2966918945312,1771.198486328125,651.5866088867188,439.1209716796875,114.2600631713867,580.5560913085938,1487.3837890625,292.5204162597656,804.7613525390625,264.5130004882812,2220.12255859375,377.9854431152344,1673.43896484375,524.7264404296875,423.3718872070312,715.0056762695312,457.5727844238281,229.2603302001953,777.3621215820312,1843.23095703125,256.834716796875
2019-10-22,586.9174194335938,436.3466796875,249.5948638916016,,394.2643737792969,324.4146423339844,709.786376953125,978.5889892578125,602.0846557617188,475.5658569335938,1766.075439453125,546.1072387695312,426.6747436523438,116.3946914672852,567.4694213867188,1487.522705078125,290.7348937988281,786.9608764648438,267.3946228027344,2246.66064453125,381.5615844726562,1676.471801757812,541.2684326171875,432.6657409667969,721.5355834960938,458.3410339355469,233.6426086425781,770.6019287109375,1858.097412109375,254.3599090576172
2019-10-23,588.0067138671875,440.1670532226562,254.1622772216797,,394.6748352050781,321.3873291015625,711.8775634765625,975.4231567382812,598.6866455078125,480.6677551269531,1782.175048828125,559.039306640625,438.9806823730469,116.7619323730469,574.5465087890625,1519.475341796875,283.1463928222656,797.4088134765625,270.4236145019531,2209.31201171875,381.3262939453125,1670.88720703125,544.3399047851562,432.9993591308594,712.1519165039062,457.1885681152344,236.1195678710938,775.3316650390625,1850.664184570312,255.6962890625
2019-10-24,585.40185546875,439.8285522460938,242.2131042480469,,393.4824829101562,321.2977294921875,704.7573852539062,959.2972412109375,606.0736694335938,475.1695556640625,1792.419799804688,545.9354858398438,448.5606689453125,114.5814056396484,574.3487548828125,1543.995971679688,285.9891662597656,797.4949340820312,274.6493225097656,2216.2177734375,382.0321044921875,1698.521118164062,544.0703125,425.9455261230469,706.4441528320312,450.7060852050781,232.9281005859375,815.7074584960938,1852.404907226562,242.5798645019531
2019-10-25,582.0394287109375,453.7077026367188,259.7908630371094,,389.6807556152344,316.398193359375,705.6536865234375,971.6636962890625,601.296875,479.3799133300781,1829.395874023438,547.7399291992188,454.5733337402344,116.142204284668,570.0787963867188,1556.930419921875,283.1229858398438,812.41455078125,277.1443176269531,2216.6513671875,392.9015808105469,1693.802978515625,538.2257080078125,438.33740234375,710.168701171875,452.0986022949219,233.1186370849609,804.6561279296875,1844.406982421875,239.2141265869141
2019-10-27,586.1596069335938,454.1429138183594,260.0215148925781,,388.8646850585938,317.2744750976562,707.1473999023438,983.3377075195312,610.308837890625,480.6181945800781,1821.432861328125,557.53564453125,453.1503601074219,116.4405822753906,574.6651611328125,1552.464111328125,281.6428527832031,805.879150390625,277.3192443847656,2221.135009765625,393.1368713378906,1694.140258789062,536.4251708984375,439.481201171875,710.410400390625,452.1946411132812,234.4047546386719,804.448486328125,1852.969482421875,240.2535400390625
2019-10-29,588.432861328125,461.7353515625,258.9604187011719,,395.5446472167969,313.7990112304688,735.3794555664062,1003.519897460938,601.54296875,499.4902954101562,1889.574096679688,559.082275390625,456.8580627441406,117.1521453857422,596.8056030273438,1580.05517578125,283.8512878417969,815.8973388671875,279.3908081054688,2233.5,397.0894470214844,1689.181518554688,539.6795654296875,450.9198608398438,710.2171630859375,453.155029296875,238.2154388427734,830.0581665039062,1857.391723632812,241.6394348144531
2019-10-30,591.203369140625,455.6903991699219,267.4955444335938,,390.1449584960938,314.4662170410156,744.2922973632812,989.125244140625,622.9158935546875,508.1090393066406,1939.463989257812,567.6318969726562,459.6639709472656,116.945556640625,596.5289306640625,1578.7060546875,282.8880310058594,808.114990234375,290.5859069824219,2249.191650390625,404.3357543945312,1672.0908203125,531.47607421875,443.2464599609375,706.1539306640625,444.6556701660156,238.2154388427734,814.6231689453125,1860.214599609375,245.7476043701172
2019-10-31,582.6787719726562,447.856201171875,288.2566833496094,,393.6193237304688,313.5899047851562,733.2882080078125,980.9139404296875,616.7600708007812,506.4718627929688,1953.969482421875,589.1137084960938,466.8916931152344,119.0342712402344,584.3515625,1602.296020507812,291.13427734375,817.1441650390625,285.1631774902344,2270.921142578125,407.8648376464844,1689.855590820312,535.9630126953125,445.0098876953125,720.81005859375,451.2342529296875,239.8349761962891,819.6529541015625,1879.691650390625,243.6192932128906
2019-11-01,587.2725830078125,447.0824279785156,289.3177795410156,,397.7533569335938,314.6654357910156,745.1885986328125,986.8499145507812,603.463623046875,504.6858520507812,1894.782104492188,591.0899658203125,462.5752563476562,118.7129516601562,601.3128662109375,1567.5390625,288.5970153808594,818.5200805664062,287.0137329101562,2294.67529296875,411.7703247070312,1678.3974609375,530.8406372070312,447.25,741.3189697265625,461.4623107910156,243.4074859619141,831.465576171875,1881.996948242188,243.7677612304688
2019-11-04,585.757080078125,455.061767578125,290.0097961425781,,401.9704895019531,312.9027404785156,739.51220703125,988.037109375,584.3561401367188,506.6702880859375,1888.798828125,609.220458984375,464.1412963867188,117.794807434082,608.4688720703125,1544.0888671875,281.0320434570312,807.427001953125,294.0558166503906,2263.834228515625,412.1466979980469,1670.694702148438,538.7745971679688,446.39208984375,735.176025390625,458.7252502441406,230.2129821777344,835.5263671875,1896.863647460938,260.94287109375
2019-11-05,587.0120849609375,452.9822998046875,294.5311584472656,,413.1900634765625,309.487060546875,734.9811401367188,959.4456176757812,574.8515625,505.9261169433594,1895.6005859375,598.1359252929688,465.2655639648438,118.6670379638672,611.4341430664062,1551.579956054688,281.4078979492188,786.4877319335938,288.9781494140625,2263.617919921875,404.5710144042969,1624.7666015625,542.2216186523438,445.963134765625,730.3389892578125,455.1238098144531,228.2600250244141,826.7359619140625,1927.72607421875,253.6669616699219
2019-11-06,595.1341552734375,464.9270629882812,293.0086364746094,,409.3150329589844,312.9027404785156,744.1428833007812,958.6046752929688,576.1320190429688,515.9970703125,1884.107299804688,612.0560913085938,461.1094665527344,117.9095840454102,610.36669921875,1530.921264648438,282.8645324707031,786.9608764648438,290.28466796875,2265.063720703125,402.6888732910156,1642.001831054688,551.2724609375,458.3549499511719,746.3011474609375,433.0350341796875,228.4981689453125,837.8796997070312,1936.853149414062,258.1216125488281
